,Math,Science,Literature,History,Art,Computer Science,Economics,Technology,Healthcare,Business,Arts,Education,Engineering,Analytical,Creative,Social
S031,88.0,98.0,68.0,73.0,64.0,89.0,87.0,3.0,5.0,1.0,1.0,5.0,1.0,0.9623563304466363,0.7284985766407713,0.0568638987869704
S032,96.0,67.0,74.0,87.0,95.0,92.0,65.0,3.0,2.0,5.0,1.0,2.0,3.0,0.023541387746265796,0.47959500279910017,0.999672306560885
S033,71.0,66.0,87.0,66.0,60.0,83.0,78.0,5.0,1.0,2.0,3.0,4.0,1.0,0.8692967374994052,0.933107620881998,0.6235415049929195
S034,91.0,89.0,60.0,91.0,79.0,80.0,78.0,3.0,2.0,5.0,2.0,5.0,3.0,0.8591247282515013,0.3196983743971925,0.027364003451031405
S035,89.0,87.0,91.0,89.0,82.0,86.0,96.0,3.0,2.0,2.0,5.0,1.0,2.0,0.9182506282226269,0.21843062464893248,0.7284863549412298
S036,85.0,62.0,90.0,61.0,69.0,97.0,78.0,1.0,1.0,1.0,3.0,3.0,1.0,0.6589673148771538,0.15816354841965719,0.1957789965311465
S037,90.0,88.0,84.0,91.0,76.0,82.0,77.0,1.0,3.0,5.0,4.0,2.0,1.0,0.32907248142979584,0.7569306529485845,0.03924424469656673
S038,70.0,79.0,72.0,83.0,79.0,87.0,94.0,3.0,1.0,1.0,1.0,1.0,5.0,0.40706874028856777,0.6651132062885663,0.1714709459386331
S039,80.0,65.0,66.0,88.0,82.0,64.0,81.0,2.0,2.0,3.0,5.0,5.0,2.0,0.11941727257763857,0.3902122410622133,0.286559217861702
S040,68.0,91.0,69.0,87.0,70.0,66.0,89.0,3.0,5.0,3.0,2.0,1.0,5.0,0.6490956642350989,0.9695685365212797,0.004468935929150097
S041,97.0,93.0,87.0,91.0,75.0,98.0,60.0,3.0,1.0,2.0,4.0,5.0,5.0,0.902379912460559,0.43322303639049253,0.6640077292676547
S042,93.0,82.0,79.0,77.0,77.0,99.0,80.0,3.0,2.0,2.0,5.0,5.0,3.0,0.8510270328448072,0.5734586611221243,0.09731182719133791
S043,67.0,93.0,70.0,69.0,67.0,67.0,78.0,3.0,4.0,1.0,3.0,1.0,5.0,0.14059517570820057,0.7892800423195212,0.2290982314442329
S044,60.0,62.0,91.0,75.0,89.0,87.0,87.0,4.0,4.0,4.0,2.0,5.0,2.0,0.5690376161324339,0.42808051247877943,0.30363898280912816
S045,75.0,92.0,84.0,77.0,85.0,65.0,97.0,2.0,4.0,2.0,5.0,5.0,2.0,0.7869675641223874,0.7312166522248189,0.6461088844716596
S046,62.0,65.0,73.0,77.0,75.0,83.0,72.0,5.0,1.0,2.0,4.0,4.0,5.0,0.37267136842322524,0.22647032402128464,0.5158949509981398
S047,60.0,97.0,73.0,76.0,72.0,72.0,68.0,5.0,4.0,1.0,4.0,2.0,4.0,0.8171041003287702,0.5756649703841941,0.9701396431949953
S048,65.0,65.0,89.0,96.0,73.0,63.0,93.0,3.0,1.0,1.0,4.0,3.0,2.0,0.015437488062397309,0.9983467813886229,0.6914090463586892
S049,61.0,76.0,73.0,76.0,89.0,88.0,66.0,4.0,2.0,3.0,4.0,4.0,2.0,0.8326740171909984,0.3349523677674553,0.5083413280865555
S050,68.0,82.0,95.0,73.0,79.0,76.0,91.0,4.0,3.0,4.0,5.0,3.0,1.0,0.7969892478843315,0.7606494723669865,0.3340344288792759
S051,84.0,89.0,86.0,86.0,90.0,85.0,73.0,2.0,3.0,1.0,1.0,3.0,1.0,0.32441023502380295,0.6628112029121311,0.9336591814719946
S052,80.0,87.0,74.0,89.0,84.0,70.0,70.0,1.0,5.0,4.0,5.0,4.0,1.0,0.43878599067413004,0.352941799309216,0.8946870362361818
S053,87.0,64.0,87.0,67.0,85.0,65.0,91.0,4.0,5.0,2.0,2.0,4.0,2.0,0.6830560614565807,0.3882759797060824,0.05727623084779454
S054,91.0,71.0,65.0,72.0,98.0,99.0,93.0,3.0,2.0,4.0,1.0,5.0,2.0,0.7214892720477849,0.35288649069038003,0.07056619777235973
S055,82.0,76.0,60.0,66.0,72.0,73.0,76.0,4.0,5.0,3.0,1.0,5.0,5.0,0.6122890872463768,0.3230068704938438,0.3384565083105294
S056,89.0,93.0,86.0,84.0,94.0,68.0,65.0,4.0,3.0,2.0,3.0,1.0,2.0,0.4791701307478927,0.7174747673284549,0.27633047763629415
S057,85.0,97.0,98.0,86.0,99.0,90.0,62.0,3.0,1.0,5.0,5.0,5.0,5.0,0.08094591577890098,0.4244257214395062,0.05492542311639437
S058,83.0,74.0,65.0,70.0,89.0,94.0,97.0,2.0,5.0,2.0,2.0,3.0,5.0,0.6972685098922164,0.9592434679225742,0.6587588076481317
S059,99.0,88.0,82.0,62.0,85.0,73.0,78.0,4.0,5.0,4.0,5.0,2.0,5.0,0.2753904497508536,0.18170238753760348,0.23278357130008986
S060,80.0,80.0,68.0,72.0,96.0,97.0,83.0,5.0,5.0,5.0,3.0,3.0,2.0,0.22161000316812152,0.3138305060445157,0.0973466781281449
S061,97.0,70.0,88.0,97.0,76.0,85.0,85.0,2.0,4.0,2.0,3.0,2.0,4.0,0.8957190576464352,0.8851204953295078,0.615236253568195
S062,71.0,77.0,68.0,62.0,69.0,61.0,67.0,4.0,3.0,2.0,4.0,2.0,2.0,0.06192036687302516,0.8040007407217661,0.06178858373824536
S063,77.0,98.0,90.0,73.0,98.0,92.0,88.0,3.0,3.0,2.0,5.0,5.0,1.0,0.10642122376313179,0.3252963926442701,0.4314703176655602
S064,92.0,94.0,61.0,94.0,91.0,95.0,82.0,1.0,1.0,3.0,2.0,4.0,2.0,0.35388895671531917,0.16522978097836394,0.11212971768177415
S065,64.0,75.0,99.0,83.0,99.0,87.0,84.0,2.0,1.0,2.0,1.0,2.0,4.0,0.8594152267044165,0.36318122595192803,0.21859937811150854
S066,66.0,97.0,66.0,81.0,81.0,86.0,92.0,5.0,5.0,3.0,4.0,2.0,4.0,0.48699135662337545,0.036823400537951745,0.6002811823322504
S067,91.0,98.0,91.0,60.0,69.0,63.0,88.0,2.0,4.0,4.0,5.0,4.0,3.0,0.2484895868495981,0.5981964141313244,0.614125164445869
S068,66.0,97.0,65.0,70.0,68.0,89.0,81.0,2.0,1.0,4.0,1.0,5.0,1.0,0.8092241913586461,0.22990475560947388,0.4634646386192802
S069,98.0,68.0,97.0,92.0,85.0,75.0,68.0,3.0,3.0,5.0,3.0,2.0,3.0,0.9618873381917876,0.7271248440846201,0.9753438080175584
S070,82.0,74.0,78.0,75.0,84.0,94.0,72.0,4.0,3.0,2.0,5.0,3.0,2.0,0.9273657130771039,0.610748596806432,0.2639303558821434
S071,66.0,93.0,73.0,82.0,82.0,76.0,72.0,4.0,1.0,1.0,5.0,5.0,1.0,0.7569241566624166,0.6981192458122928,0.5888901203573977
S072,86.0,61.0,96.0,89.0,63.0,89.0,62.0,1.0,5.0,1.0,3.0,2.0,5.0,0.697829228491301,0.613586414545251,0.5193790230728464
S073,73.0,70.0,99.0,82.0,91.0,62.0,60.0,2.0,4.0,4.0,3.0,4.0,5.0,0.4159554816833432,0.04470837457744048,0.8656879191031811
S074,68.0,68.0,71.0,60.0,75.0,89.0,67.0,3.0,3.0,5.0,1.0,2.0,5.0,0.8655405825997458,0.5940473199689221,0.2678843051581541
S075,69.0,92.0,97.0,81.0,75.0,78.0,70.0,1.0,1.0,4.0,3.0,3.0,4.0,0.02813104403889244,0.001428804166974218,0.07290738972253885
S076,70.0,73.0,98.0,85.0,79.0,79.0,64.0,4.0,3.0,5.0,5.0,5.0,5.0,0.359886326351165,0.18839594599707776,0.26505808563752353
S077,60.0,70.0,69.0,87.0,93.0,72.0,84.0,4.0,2.0,2.0,3.0,2.0,5.0,0.699660377304932,0.9591497743591576,0.2067758430200325
S078,82.0,95.0,71.0,61.0,79.0,75.0,73.0,4.0,5.0,1.0,4.0,1.0,1.0,0.4656439341364895,0.9914794014994103,0.9316743982341787
S079,61.0,75.0,63.0,72.0,97.0,60.0,68.0,3.0,1.0,2.0,2.0,1.0,3.0,0.3523163030292312,0.3196890467980832,0.242170640337248
S080,80.0,77.0,91.0,93.0,79.0,61.0,63.0,1.0,4.0,4.0,4.0,4.0,1.0,0.15540284982908892,0.4600520791287783,0.34112051340674754
S081,97.0,66.0,81.0,79.0,94.0,63.0,79.0,5.0,5.0,4.0,3.0,3.0,1.0,0.7448375938703949,0.2368665038305111,0.7363322390200491
S082,94.0,92.0,80.0,73.0,90.0,81.0,89.0,5.0,1.0,2.0,4.0,2.0,2.0,0.2881465859819744,0.5927287846475592,0.6384300963947311
S083,88.0,95.0,88.0,66.0,91.0,72.0,72.0,3.0,5.0,4.0,1.0,4.0,1.0,0.6717814255003328,0.17533898603726172,0.2827113697216943
S084,73.0,65.0,75.0,80.0,75.0,64.0,83.0,1.0,5.0,2.0,1.0,5.0,2.0,0.2461156854052332,0.5761604110154803,0.07574640227136686
S085,60.0,69.0,94.0,90.0,74.0,70.0,68.0,2.0,4.0,4.0,4.0,3.0,2.0,0.5182564499608501,0.0874670556430418,0.3370559899331138
S086,61.0,89.0,75.0,60.0,65.0,70.0,92.0,3.0,4.0,5.0,4.0,1.0,5.0,0.6867060929511154,0.41256405501176874,0.2803418393822278
S087,76.0,93.0,99.0,84.0,81.0,85.0,86.0,5.0,2.0,3.0,1.0,5.0,3.0,0.6158571758990344,0.7402691124821116,0.25458493477259625
S088,97.0,68.0,96.0,64.0,77.0,81.0,71.0,3.0,1.0,1.0,4.0,4.0,5.0,0.2993999010958772,0.6402939169510861,0.9652232601805852
S089,81.0,65.0,95.0,86.0,74.0,76.0,62.0,5.0,5.0,4.0,5.0,5.0,4.0,0.21387153666977565,0.6542476357112096,0.9065898410683881
S090,69.0,84.0,80.0,99.0,68.0,83.0,91.0,4.0,5.0,5.0,3.0,2.0,4.0,0.4619667650443613,0.3168442264953246,0.6668710652065414
S091,62.0,92.0,71.0,88.0,80.0,98.0,93.0,2.0,4.0,3.0,2.0,3.0,1.0,0.03143180648078625,0.36016055053337404,0.25797402681711357
S092,92.0,91.0,79.0,62.0,63.0,76.0,76.0,2.0,2.0,2.0,1.0,1.0,3.0,0.22462170277842797,0.17975926352696325,0.7370633015859539
S093,78.0,63.0,88.0,76.0,81.0,61.0,71.0,1.0,4.0,5.0,2.0,3.0,3.0,0.9550997953259643,0.38477064532194283,0.04910330690804099
S094,70.0,99.0,88.0,79.0,64.0,84.0,93.0,3.0,3.0,2.0,3.0,2.0,3.0,0.7189118136725778,0.5382043344635895,0.723644613845808
S095,71.0,87.0,93.0,65.0,78.0,71.0,84.0,3.0,5.0,4.0,1.0,1.0,1.0,0.6479041641989064,0.9054359809634767,0.14044019272691743
S096,72.0,76.0,71.0,62.0,83.0,67.0,95.0,4.0,2.0,1.0,1.0,1.0,2.0,0.16916184525974154,0.34156922402313705,0.49138881599745277
S097,85.0,67.0,91.0,91.0,60.0,62.0,60.0,4.0,4.0,2.0,5.0,3.0,2.0,0.9257137810077208,0.9069642293499606,0.8718721192693771
S098,74.0,79.0,62.0,74.0,96.0,80.0,98.0,3.0,4.0,3.0,1.0,3.0,3.0,0.2225269339435919,0.7296763772136856,0.3834917440904594
S099,82.0,99.0,94.0,77.0,76.0,90.0,85.0,4.0,5.0,3.0,4.0,1.0,3.0,0.9311829275410803,0.2145358363785571,0.1412579532039594
S100,81.0,95.0,94.0,70.0,86.0,93.0,77.0,3.0,1.0,2.0,5.0,1.0,1.0,0.8423851746335128,0.7169075951190083,0.8214216782238299
S101,86.0,63.0,76.0,65.0,70.0,64.0,77.0,1.0,2.0,1.0,2.0,5.0,2.0,0.15794338767812766,0.884792687749463,0.6776203566471365
S102,84.0,69.0,75.0,69.0,69.0,95.0,80.0,5.0,5.0,5.0,4.0,5.0,2.0,0.6515608028985767,0.5825838630980549,0.7648764855911764
S103,73.0,67.0,60.0,75.0,85.0,65.0,98.0,4.0,1.0,1.0,3.0,5.0,3.0,0.4156083138806236,0.13282124593316724,0.5392648664941966
S104,61.0,68.0,64.0,99.0,64.0,67.0,64.0,5.0,5.0,2.0,2.0,1.0,4.0,0.7481019577735623,0.15364745288766013,0.2240206676112021
S105,64.0,76.0,68.0,93.0,92.0,81.0,80.0,1.0,5.0,4.0,3.0,5.0,2.0,0.6965456220661786,0.26965093409728214,0.16994086058660096
S106,74.0,60.0,66.0,82.0,65.0,79.0,85.0,1.0,1.0,3.0,1.0,1.0,4.0,0.8893920773052985,0.1608953560541556,0.34414857904734264
S107,71.0,72.0,72.0,61.0,91.0,90.0,70.0,5.0,4.0,4.0,1.0,5.0,1.0,0.42843029239854435,0.4761399855903964,0.36130992582048616
S108,96.0,63.0,93.0,75.0,90.0,84.0,98.0,1.0,4.0,2.0,2.0,4.0,4.0,0.9125384993991307,0.6586252211762547,0.3594946492227026
S109,67.0,67.0,93.0,74.0,64.0,78.0,69.0,1.0,5.0,1.0,1.0,3.0,1.0,0.35771971953761994,0.5029524991847476,0.03366320416963331
S110,68.0,88.0,99.0,96.0,78.0,72.0,99.0,5.0,1.0,4.0,5.0,4.0,3.0,0.9266428388329596,0.22330937771404225,0.6975925656888866
S111,75.0,89.0,64.0,92.0,78.0,78.0,76.0,3.0,5.0,2.0,2.0,5.0,5.0,0.7777227470057301,0.8273830151873094,0.1656423098675096
S112,83.0,87.0,96.0,81.0,98.0,75.0,94.0,4.0,3.0,5.0,1.0,4.0,3.0,0.5366930697557386,0.08367436213987012,0.8047923453135554
S113,86.0,71.0,87.0,60.0,98.0,77.0,82.0,4.0,3.0,1.0,3.0,4.0,3.0,0.48645153395839047,0.15848905892347775,0.7186789456080637
S114,81.0,63.0,70.0,77.0,66.0,80.0,94.0,4.0,5.0,1.0,4.0,2.0,2.0,0.33116984875197786,0.11450660376010757,0.4610738249936476
S115,96.0,89.0,76.0,92.0,75.0,74.0,72.0,3.0,5.0,5.0,2.0,3.0,5.0,0.23524659870971476,0.9502218357374423,0.3613616578067773
S116,98.0,62.0,83.0,82.0,60.0,91.0,92.0,5.0,3.0,4.0,2.0,5.0,4.0,0.5724529051465,0.9483609984570618,0.3937211865679606
S117,89.0,61.0,77.0,89.0,77.0,64.0,64.0,4.0,4.0,4.0,1.0,1.0,3.0,0.3581268737759554,0.16240564039327599,0.9383035645657652
S118,67.0,68.0,91.0,73.0,72.0,77.0,63.0,2.0,3.0,1.0,3.0,3.0,4.0,0.8007447783462386,0.2210109890218921,0.3326744277483319
S119,81.0,79.0,74.0,66.0,72.0,93.0,89.0,5.0,1.0,1.0,3.0,5.0,3.0,0.9149117780819513,0.537279595807825,0.5563342866058799
S120,64.0,60.0,90.0,79.0,78.0,88.0,97.0,2.0,1.0,4.0,4.0,4.0,1.0,0.6481444819513794,0.7621638179077981,0.9392855456643299
S121,69.0,88.0,90.0,70.0,82.0,89.0,84.0,1.0,4.0,1.0,4.0,2.0,2.0,0.802225073470025,0.9345491984640214,0.8206097581522359
S122,75.0,82.0,92.0,96.0,87.0,86.0,65.0,2.0,3.0,3.0,5.0,5.0,5.0,0.04643406061466637,0.11753462053694197,0.884892925646334
S123,97.0,96.0,65.0,84.0,72.0,92.0,92.0,2.0,2.0,2.0,1.0,1.0,2.0,0.027696449045257032,0.7941746488199306,0.8498437319035123
S124,84.0,73.0,99.0,97.0,68.0,77.0,74.0,4.0,5.0,3.0,5.0,4.0,1.0,0.4154645620824524,0.35485475282321977,0.19440421911804961
S125,63.0,93.0,97.0,76.0,66.0,91.0,82.0,2.0,1.0,1.0,4.0,1.0,1.0,0.04891887166236297,0.7453829563109936,0.07372708444738663
S126,79.0,61.0,80.0,71.0,86.0,69.0,67.0,5.0,5.0,4.0,2.0,5.0,1.0,0.9446696280089208,0.2967434627750619,0.7942443175942318
S127,80.0,81.0,72.0,99.0,71.0,76.0,68.0,3.0,5.0,3.0,2.0,1.0,5.0,0.0596826510368107,0.536278684651872,0.349099537090549
S128,99.0,71.0,68.0,89.0,65.0,84.0,87.0,2.0,4.0,2.0,4.0,4.0,5.0,0.03000110517813681,0.6557993544091716,0.9431627209084948
S129,69.0,87.0,88.0,95.0,70.0,80.0,97.0,3.0,4.0,1.0,5.0,4.0,5.0,0.010752767203065727,0.2704369261802404,0.7036057426975649
S130,85.0,77.0,63.0,74.0,82.0,65.0,66.0,1.0,5.0,5.0,4.0,2.0,5.0,0.8712537240416298,0.19077917350007811,0.07071678453876884
S131,74.0,68.0,89.0,87.0,89.0,67.0,94.0,4.0,1.0,1.0,2.0,1.0,4.0,0.008641400337070837,0.2152064216561842,0.07131729205424753
S132,94.0,85.0,89.0,94.0,97.0,70.0,79.0,2.0,4.0,2.0,2.0,4.0,2.0,0.35938208910259795,0.44012577495384686,0.4799238058822062
S133,90.0,93.0,71.0,87.0,62.0,64.0,72.0,4.0,1.0,1.0,5.0,3.0,3.0,0.1423293102446076,0.4639880488265895,0.009051641755863038
S134,71.0,60.0,78.0,88.0,98.0,84.0,75.0,1.0,5.0,3.0,4.0,4.0,2.0,0.23942108812204566,0.3690860493093199,0.1183515759435666
S135,76.0,87.0,98.0,64.0,60.0,62.0,83.0,3.0,4.0,3.0,2.0,1.0,5.0,0.8140045973173174,0.20121239230815413,0.7548897116462678
S136,88.0,74.0,63.0,60.0,74.0,83.0,90.0,2.0,2.0,2.0,5.0,4.0,3.0,0.4738930394558275,0.4797430931451644,0.6451943361056267
S137,79.0,69.0,70.0,77.0,93.0,87.0,97.0,1.0,1.0,5.0,1.0,5.0,5.0,0.04427771163299876,0.07875934000014284,0.3268434897725141
S138,75.0,83.0,98.0,71.0,66.0,95.0,76.0,3.0,3.0,5.0,3.0,4.0,2.0,0.4168225005017222,0.4299407971948197,0.676887130825468
S139,63.0,96.0,92.0,78.0,85.0,70.0,90.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0007050118361522362,0.9591050920796886,0.17448741097694487
S140,60.0,99.0,95.0,88.0,84.0,77.0,62.0,2.0,5.0,3.0,2.0,1.0,3.0,0.24863167630523675,0.9056271845251634,0.005491400869552243
S141,77.0,66.0,87.0,76.0,84.0,77.0,99.0,2.0,1.0,2.0,1.0,1.0,4.0,0.9913060815589539,0.03595733562710335,0.12054551949355963
S142,62.0,84.0,66.0,69.0,78.0,74.0,80.0,1.0,2.0,3.0,4.0,3.0,5.0,0.24010671254888816,0.4387216401129074,0.5184515337155923
S143,80.0,96.0,87.0,91.0,86.0,82.0,69.0,3.0,5.0,5.0,4.0,3.0,1.0,0.10471847116866473,0.07367389862102891,0.03185903640576804
S144,99.0,65.0,83.0,77.0,69.0,74.0,93.0,4.0,4.0,1.0,3.0,4.0,5.0,0.25675070067420314,0.9215329735952424,0.3898425188879031
S145,67.0,94.0,86.0,84.0,62.0,80.0,98.0,1.0,2.0,4.0,5.0,3.0,3.0,0.7640073920945493,0.19018819453895075,0.06467922572660423
S146,91.0,80.0,68.0,60.0,63.0,63.0,85.0,1.0,5.0,1.0,4.0,1.0,2.0,0.5542797884836628,0.8220924003705019,0.898459916663545
S147,93.0,86.0,74.0,91.0,66.0,73.0,82.0,1.0,1.0,4.0,5.0,2.0,1.0,0.5462046035351009,0.294032284031031,0.10951174523726082
S148,60.0,91.0,85.0,68.0,75.0,90.0,61.0,4.0,4.0,4.0,5.0,1.0,3.0,0.6678228542386297,0.2804368171180852,0.8439624244481976
S149,91.0,69.0,84.0,77.0,93.0,88.0,83.0,2.0,3.0,5.0,1.0,3.0,3.0,0.605121118453288,0.8588785633547259,0.5666530100051513
S150,62.0,74.0,62.0,90.0,69.0,97.0,81.0,3.0,2.0,1.0,4.0,1.0,3.0,0.7717423627044433,0.29430515091109866,0.5030587903825815
S151,73.0,68.0,77.0,67.0,97.0,74.0,74.0,1.0,4.0,2.0,1.0,1.0,2.0,0.01940637290290992,0.6078317433235556,0.5337393475604532
S152,65.0,71.0,78.0,99.0,64.0,86.0,69.0,2.0,3.0,3.0,2.0,4.0,3.0,0.7552823224302032,0.7289559654860657,0.6276170018349079
S153,73.0,93.0,74.0,88.0,85.0,86.0,62.0,4.0,2.0,1.0,2.0,2.0,5.0,0.05668541362086732,0.9030097072610772,0.018019190907296867
S154,62.0,94.0,94.0,65.0,73.0,85.0,62.0,2.0,3.0,1.0,4.0,5.0,3.0,0.8032676604225611,0.47934635126746983,0.8179935628896298
S155,92.0,72.0,88.0,68.0,91.0,81.0,81.0,1.0,4.0,1.0,3.0,1.0,2.0,0.46506987371269193,0.646937805071814,0.36326550578199623
S156,93.0,69.0,84.0,71.0,62.0,78.0,92.0,1.0,2.0,3.0,5.0,2.0,1.0,0.7436787361363288,0.25417617511449775,0.7193559118751524
S157,85.0,72.0,66.0,93.0,81.0,79.0,82.0,1.0,1.0,3.0,4.0,1.0,1.0,0.19338265107721497,0.7221676836727254,0.29367130524216745
S158,73.0,89.0,82.0,78.0,98.0,95.0,65.0,2.0,5.0,1.0,3.0,4.0,4.0,0.2786317720487361,0.8114939374786067,0.8136926366900664
S159,82.0,69.0,94.0,80.0,91.0,89.0,92.0,4.0,3.0,4.0,4.0,2.0,4.0,0.6914023695253565,0.9239086307574367,0.15619369334506727
S160,65.0,64.0,74.0,84.0,72.0,65.0,96.0,2.0,2.0,2.0,3.0,1.0,5.0,0.26932132021310407,0.29401408662010176,0.3052863374010121
S161,61.0,76.0,83.0,71.0,73.0,66.0,85.0,4.0,5.0,1.0,2.0,2.0,2.0,0.32803198388430366,0.6970091771193366,0.270758143325339
S162,91.0,88.0,98.0,68.0,73.0,76.0,84.0,2.0,4.0,1.0,1.0,1.0,5.0,0.28592215485048145,0.5704145835159514,0.1933588550642822
S163,89.0,88.0,88.0,77.0,90.0,78.0,76.0,2.0,3.0,1.0,5.0,4.0,2.0,0.36488750654712254,0.05794038861610584,0.952547108063007
S164,65.0,71.0,97.0,62.0,94.0,92.0,88.0,5.0,3.0,3.0,4.0,1.0,1.0,0.31730767709823626,0.8500421335810859,0.5299455940699983
S165,62.0,64.0,73.0,95.0,87.0,91.0,77.0,5.0,5.0,1.0,1.0,5.0,2.0,0.22821215728770217,0.19342757400289878,0.6949607448830142
S166,99.0,72.0,61.0,84.0,79.0,66.0,70.0,3.0,3.0,4.0,3.0,5.0,2.0,0.9648688076336419,0.1830697205291727,0.11542121669674532
S167,64.0,88.0,77.0,67.0,86.0,61.0,94.0,5.0,1.0,1.0,3.0,2.0,4.0,0.3870993454099304,0.39381054694527584,0.8062529736919526
S168,85.0,82.0,64.0,75.0,70.0,78.0,75.0,5.0,4.0,4.0,4.0,4.0,5.0,0.4688892944829556,0.06246118835230863,0.9206676917076997
S169,91.0,71.0,61.0,81.0,85.0,92.0,83.0,1.0,5.0,1.0,1.0,5.0,5.0,0.3731878935505788,0.6685317304942029,0.6674882715551651
