,Math,Science,Literature,History,Art,Computer Science,Economics,Technology,Healthcare,Business,Arts,Education,Engineering,Analytical,Creative,Social
S013,87.0,61.0,83.0,72.0,78.0,88.0,79.0,1.0,3.0,1.0,4.0,5.0,5.0,0.3569088012988887,0.08340516176137502,0.8828060011377246
S014,76.0,74.0,77.0,76.0,60.0,81.0,71.0,4.0,2.0,2.0,5.0,3.0,4.0,0.5936103382017821,0.855738923421849,0.15606239131794342
S015,85.0,77.0,90.0,92.0,88.0,71.0,94.0,5.0,1.0,3.0,5.0,3.0,2.0,0.3959528911348764,0.22577868846860094,0.3939403406533668
S016,83.0,67.0,80.0,80.0,77.0,80.0,79.0,1.0,1.0,3.0,5.0,3.0,5.0,0.029164982825577,0.6912179710647413,0.4507518996324269
S017,85.0,69.0,87.0,71.0,72.0,81.0,82.0,4.0,4.0,5.0,5.0,3.0,5.0,0.8460718016704822,0.19189835699816982,0.9541574267707481
S018,64.0,95.0,86.0,98.0,61.0,99.0,96.0,2.0,3.0,5.0,4.0,4.0,4.0,0.7513240807860324,0.18931936209559397,0.7286778539504074
S019,81.0,90.0,76.0,77.0,67.0,90.0,71.0,5.0,3.0,4.0,2.0,5.0,3.0,0.33919281479037844,0.33302573814008674,0.11659246893499342
S020,67.0,72.0,90.0,68.0,64.0,60.0,70.0,2.0,1.0,4.0,1.0,5.0,4.0,0.3699565290983867,0.35417092355585955,0.9028676632705886
S021,99.0,87.0,98.0,74.0,89.0,93.0,62.0,4.0,3.0,2.0,2.0,5.0,2.0,0.1046177119776508,0.5739484313096601,0.8269568190570579
S022,78.0,93.0,86.0,87.0,65.0,73.0,82.0,3.0,3.0,4.0,4.0,4.0,2.0,0.15411330356488817,0.6042914967856897,0.9693853751981977
S023,78.0,86.0,74.0,77.0,67.0,76.0,86.0,3.0,2.0,1.0,3.0,3.0,2.0,0.9108403722936387,0.5728554753161896,0.7493302617319696
S024,64.0,62.0,61.0,88.0,62.0,99.0,88.0,3.0,1.0,4.0,3.0,3.0,5.0,0.2803310254741902,0.654308233053709,0.9983906893707277
S025,74.0,82.0,78.0,96.0,67.0,61.0,81.0,1.0,5.0,2.0,3.0,4.0,3.0,0.8499669776880338,0.4438454913095572,0.4607304451828108
S026,92.0,82.0,86.0,95.0,63.0,91.0,71.0,4.0,5.0,3.0,4.0,2.0,4.0,0.3269575787612786,0.4820087132027586,0.39940451387320186
S027,98.0,87.0,67.0,77.0,65.0,67.0,96.0,2.0,4.0,3.0,2.0,5.0,1.0,0.9517662318839755,0.20799312458916686,0.9406123970459784
S028,71.0,81.0,66.0,73.0,99.0,88.0,80.0,5.0,3.0,5.0,5.0,2.0,2.0,0.6383233071027011,0.6943516479827193,0.490759355085132
S029,87.0,77.0,82.0,63.0,68.0,83.0,71.0,2.0,5.0,1.0,3.0,2.0,3.0,0.548575365863544,0.47871059437181085,0.14747841967101294
S030,65.0,80.0,63.0,69.0,89.0,60.0,78.0,4.0,1.0,1.0,1.0,1.0,4.0,0.2886366497198758,0.735752538435698,0.5228294772989648
S031,98.0,90.0,90.0,61.0,93.0,77.0,89.0,5.0,2.0,4.0,4.0,2.0,1.0,0.3936939123131332,0.41253165906904865,0.08174227796613653
S032,63.0,77.0,68.0,79.0,91.0,78.0,88.0,5.0,5.0,1.0,3.0,2.0,1.0,0.020384230775804202,0.4514016625720504,0.7752006635377642
S033,85.0,95.0,74.0,61.0,79.0,66.0,60.0,5.0,5.0,5.0,5.0,3.0,4.0,0.26458069084231794,0.34041115005499956,0.45593588674808916
S034,74.0,74.0,79.0,73.0,85.0,61.0,72.0,3.0,2.0,1.0,1.0,1.0,3.0,0.3064829984465963,0.6750911932325605,0.5573104071435175
S035,81.0,95.0,98.0,96.0,67.0,92.0,60.0,2.0,2.0,3.0,3.0,2.0,1.0,0.6455557149056936,0.9668741505194096,0.22538433398545554
S036,72.0,80.0,93.0,92.0,72.0,94.0,86.0,2.0,1.0,2.0,3.0,4.0,2.0,0.7213748474587599,0.7134680232671393,0.19552081988567727
S037,72.0,94.0,68.0,99.0,85.0,66.0,98.0,3.0,3.0,4.0,4.0,2.0,4.0,0.47479942608520387,0.819496875524884,0.7029530694684103
S038,67.0,74.0,93.0,96.0,92.0,89.0,72.0,5.0,1.0,5.0,2.0,1.0,3.0,0.3167188548765413,0.2957079544441015,0.43991280463052296
S039,87.0,87.0,83.0,74.0,98.0,99.0,86.0,2.0,3.0,2.0,5.0,2.0,2.0,0.7936625267296886,0.2133213587156706,0.27852612477681193
S040,81.0,61.0,88.0,71.0,84.0,96.0,76.0,1.0,3.0,3.0,4.0,3.0,2.0,0.5822705206595667,0.5614675828223846,0.4568528225919555
S041,86.0,92.0,71.0,88.0,77.0,83.0,93.0,3.0,2.0,5.0,4.0,3.0,4.0,0.7999989379061136,0.5481255432032597,0.46925892886904275
S042,76.0,97.0,75.0,88.0,60.0,88.0,89.0,4.0,2.0,3.0,3.0,2.0,3.0,0.005357641366632748,0.22646295316519593,0.49097631037929435
S043,93.0,66.0,88.0,76.0,72.0,87.0,75.0,5.0,3.0,4.0,1.0,3.0,4.0,0.02812759064472692,0.588841123180513,0.3542305534538137
S044,90.0,92.0,65.0,94.0,69.0,86.0,91.0,5.0,5.0,4.0,5.0,2.0,3.0,0.24750200249270904,0.4292610304191614,0.6323706602688614
S045,67.0,98.0,74.0,78.0,65.0,77.0,69.0,3.0,3.0,3.0,4.0,1.0,3.0,0.8722154315424436,0.5671180791336464,0.2769765631516672
S046,76.0,77.0,65.0,82.0,75.0,60.0,95.0,3.0,1.0,3.0,3.0,1.0,5.0,0.4784317113192359,0.2589967476638867,0.1883693603754132
S047,71.0,83.0,99.0,96.0,77.0,71.0,91.0,5.0,4.0,2.0,3.0,2.0,3.0,0.5804210750358548,0.9316650271053436,0.8884940367746299
S048,80.0,66.0,96.0,64.0,84.0,63.0,86.0,4.0,5.0,4.0,5.0,3.0,4.0,0.5898645516770309,0.38958515165327234,0.9445549877748759
S049,87.0,62.0,65.0,61.0,69.0,99.0,84.0,2.0,3.0,5.0,1.0,3.0,1.0,0.19130303434632356,0.8416073899235645,0.5267464327749806
S050,91.0,87.0,64.0,61.0,99.0,70.0,71.0,2.0,2.0,2.0,1.0,3.0,1.0,0.21701852905273478,0.8168541846363967,0.4846297873351504
S051,91.0,67.0,71.0,86.0,71.0,83.0,91.0,5.0,3.0,2.0,1.0,4.0,1.0,0.2397852269349059,0.3821337790848931,0.8294316724494911
S052,91.0,91.0,89.0,87.0,84.0,89.0,73.0,4.0,2.0,4.0,2.0,5.0,1.0,0.8608481430015428,0.7936514351659191,0.1333553695962626
S053,71.0,67.0,69.0,88.0,74.0,75.0,83.0,3.0,1.0,1.0,3.0,2.0,3.0,0.37472476367196617,0.8409150711950804,0.5940291443504255
S054,98.0,75.0,90.0,91.0,89.0,80.0,86.0,5.0,1.0,3.0,3.0,1.0,5.0,0.42676718327032814,0.6661388081502164,0.10159094851038086
S055,84.0,60.0,73.0,80.0,95.0,91.0,95.0,1.0,5.0,4.0,1.0,1.0,5.0,0.8175399356436774,0.9113861559589683,0.393063636642767
S056,85.0,98.0,67.0,89.0,70.0,95.0,91.0,3.0,2.0,1.0,2.0,5.0,5.0,0.6573497476632051,0.7707133168320148,0.84013093416664
S057,88.0,90.0,85.0,72.0,97.0,63.0,92.0,4.0,3.0,4.0,3.0,5.0,5.0,0.010571909714267025,0.1306823573362682,0.532963963103226
S058,68.0,91.0,95.0,76.0,98.0,87.0,78.0,1.0,2.0,1.0,3.0,3.0,3.0,0.2388529961373459,0.8831335599386212,0.3667265944507633
S059,69.0,86.0,72.0,81.0,92.0,85.0,83.0,2.0,1.0,2.0,4.0,5.0,1.0,0.8503794415817199,0.7983399513804743,0.3212833323016453
S060,76.0,73.0,95.0,81.0,75.0,76.0,99.0,3.0,4.0,1.0,3.0,5.0,4.0,0.24150506998347065,0.6913332332114948,0.11190314948801672
S061,99.0,90.0,64.0,74.0,71.0,89.0,65.0,5.0,2.0,4.0,2.0,3.0,5.0,0.08583454667045953,0.6212856421764444,0.4743528757787291
S062,70.0,89.0,65.0,70.0,65.0,62.0,62.0,5.0,1.0,3.0,3.0,4.0,5.0,0.3825592478550409,0.12743385724680156,0.7835499438988196
S063,73.0,80.0,99.0,96.0,96.0,60.0,88.0,4.0,5.0,3.0,5.0,4.0,4.0,0.9875998430612329,0.36442241225855887,0.11166516304178253
S064,82.0,60.0,66.0,64.0,99.0,60.0,97.0,3.0,2.0,4.0,4.0,3.0,3.0,0.5783155607289441,0.45252107528131313,0.2748713358030138
S065,77.0,94.0,90.0,62.0,74.0,96.0,63.0,4.0,5.0,1.0,5.0,3.0,3.0,0.5514748086472511,0.4255228985530608,0.5194061382077375
S066,83.0,80.0,68.0,90.0,64.0,99.0,70.0,4.0,2.0,2.0,1.0,5.0,5.0,0.976003839755175,0.5871198215736614,0.3002689499028164
S067,61.0,72.0,67.0,97.0,74.0,64.0,72.0,4.0,1.0,4.0,2.0,4.0,5.0,0.2731943622199604,0.6075402639329527,0.356228292087302
S068,82.0,80.0,86.0,89.0,91.0,73.0,73.0,1.0,1.0,3.0,4.0,3.0,3.0,0.9932524258160356,0.9583160389820998,0.40304570548393526
S069,72.0,61.0,85.0,99.0,92.0,68.0,67.0,4.0,5.0,3.0,5.0,5.0,5.0,0.4199174766235171,0.8904422592184972,0.08587072369118975
S070,77.0,61.0,92.0,99.0,82.0,75.0,64.0,3.0,4.0,3.0,4.0,4.0,3.0,0.5325797652211203,0.9913124269290295,0.930105385923303
S071,80.0,68.0,78.0,86.0,94.0,91.0,86.0,3.0,1.0,5.0,4.0,4.0,4.0,0.4345309548829247,0.23026213769865467,0.46912512765637016
S072,91.0,87.0,63.0,92.0,77.0,71.0,76.0,2.0,5.0,5.0,3.0,2.0,4.0,0.5981609332272255,0.03938561048008027,0.16382680021341667
S073,91.0,84.0,90.0,80.0,87.0,91.0,65.0,2.0,3.0,5.0,5.0,2.0,4.0,0.17884703416326142,0.7293978027771256,0.5582109422933241
S074,60.0,61.0,75.0,93.0,66.0,83.0,99.0,1.0,5.0,2.0,4.0,4.0,2.0,0.6035100327073346,0.22712355913679316,0.6521050394564408
S075,66.0,66.0,71.0,65.0,91.0,87.0,80.0,3.0,1.0,5.0,2.0,2.0,4.0,0.2265282662419026,0.21128236269289102,0.37574447290357005
S076,76.0,83.0,75.0,69.0,73.0,96.0,76.0,5.0,5.0,4.0,1.0,2.0,3.0,0.19199621879926765,0.9998529226092239,0.5457443440925545
S077,85.0,98.0,69.0,88.0,94.0,64.0,79.0,2.0,2.0,4.0,4.0,5.0,4.0,0.6224490369478937,0.9623155235345084,0.8662445544431886
S078,81.0,94.0,68.0,79.0,67.0,67.0,95.0,1.0,4.0,4.0,1.0,2.0,2.0,0.8491173738120606,0.3484652954193507,0.03787612358525527
S079,86.0,91.0,77.0,70.0,73.0,77.0,71.0,4.0,5.0,3.0,4.0,1.0,5.0,0.07283410231870335,0.5186699047739359,0.8750097350572058
S080,76.0,87.0,90.0,92.0,62.0,72.0,85.0,2.0,1.0,2.0,4.0,3.0,3.0,0.037453884423338524,0.19581398218436663,0.14344083465546764
S081,69.0,94.0,89.0,79.0,96.0,69.0,95.0,1.0,1.0,5.0,2.0,2.0,3.0,0.8121795307285515,0.7365290767389063,0.8985988317552124
S082,86.0,94.0,60.0,65.0,85.0,63.0,82.0,2.0,1.0,2.0,3.0,3.0,4.0,0.36933164829276155,0.3044311815931672,0.6251196072128024
S083,73.0,70.0,90.0,89.0,89.0,73.0,85.0,3.0,4.0,4.0,5.0,3.0,4.0,0.42680076008221113,0.9034180595739051,0.38411974450244324
S084,89.0,66.0,70.0,88.0,80.0,89.0,78.0,5.0,3.0,2.0,4.0,4.0,3.0,0.8982970479255238,0.7414730474848348,0.4101809826327196
S085,87.0,88.0,95.0,85.0,60.0,70.0,70.0,4.0,5.0,4.0,1.0,4.0,5.0,0.28027601519614653,0.4652260405183991,0.9536437461668621
S086,88.0,99.0,96.0,66.0,80.0,62.0,82.0,5.0,2.0,5.0,5.0,1.0,5.0,0.9009512033299044,0.3247726031160042,0.020582525024578135
S087,61.0,89.0,88.0,81.0,68.0,67.0,71.0,3.0,2.0,3.0,1.0,3.0,2.0,0.6883726026772696,0.7715793280936993,0.4361874055837882
S088,77.0,92.0,81.0,75.0,96.0,75.0,68.0,3.0,4.0,3.0,4.0,1.0,5.0,0.2860181459846032,0.48365223843385263,0.885681287816056
S089,65.0,66.0,84.0,80.0,66.0,73.0,78.0,1.0,3.0,5.0,5.0,4.0,3.0,0.5788895511815502,0.7390394333420314,0.7899181655916298
S090,87.0,62.0,61.0,80.0,95.0,94.0,70.0,4.0,3.0,4.0,5.0,3.0,3.0,0.888319822036758,0.8486878909708762,0.20245487960710762
S091,67.0,77.0,66.0,69.0,71.0,72.0,63.0,4.0,1.0,4.0,1.0,5.0,5.0,0.9300456269508667,0.08163907774942558,0.12430353163622587
S092,94.0,69.0,63.0,95.0,85.0,90.0,76.0,3.0,4.0,5.0,2.0,3.0,5.0,0.8411569663749257,0.25668682197116577,0.9739561080309755
S093,90.0,84.0,83.0,72.0,69.0,63.0,70.0,1.0,1.0,1.0,4.0,3.0,4.0,0.015535216049667455,0.4750824137134023,0.3615300042127044
S094,75.0,90.0,94.0,66.0,62.0,68.0,87.0,5.0,1.0,1.0,3.0,2.0,2.0,0.9820511764716935,0.6000590232332123,0.5578442331371636
S095,70.0,72.0,90.0,77.0,94.0,73.0,82.0,2.0,4.0,4.0,3.0,5.0,2.0,0.3224127795397739,0.3872572224803775,0.29773827605046355
S096,60.0,62.0,80.0,75.0,87.0,93.0,83.0,2.0,5.0,2.0,5.0,2.0,4.0,0.1097897300813786,0.7923767197649909,0.8555037135916022
S097,71.0,72.0,75.0,63.0,82.0,75.0,78.0,4.0,3.0,1.0,5.0,1.0,4.0,0.5127427320855409,0.08308198467307693,0.5029015048042513
S098,70.0,95.0,70.0,87.0,79.0,91.0,62.0,2.0,2.0,4.0,2.0,2.0,4.0,0.3135008395217168,0.036572526218453416,0.022456145074292055
S099,63.0,74.0,95.0,79.0,62.0,61.0,91.0,1.0,5.0,3.0,5.0,5.0,2.0,0.42117640314115423,0.12142939339818593,0.39157889838135795
S100,99.0,80.0,91.0,96.0,71.0,88.0,95.0,3.0,4.0,1.0,3.0,3.0,4.0,0.12993775076897107,0.634741126305573,0.5134444185821034
S101,68.0,78.0,87.0,95.0,90.0,78.0,93.0,5.0,5.0,3.0,3.0,5.0,5.0,0.8296348955809613,0.4451599549796802,0.9485836204761069
S102,88.0,73.0,99.0,84.0,71.0,73.0,82.0,4.0,1.0,1.0,5.0,3.0,4.0,0.6373390996161864,0.7552639646333016,0.4937236761181696
S103,97.0,83.0,98.0,84.0,73.0,95.0,80.0,4.0,1.0,5.0,3.0,3.0,3.0,0.9591766900927379,0.4936030554210542,0.10774500716435531
S104,76.0,68.0,80.0,73.0,60.0,90.0,82.0,3.0,2.0,3.0,1.0,2.0,1.0,0.3515023713512515,0.773544225704885,0.8834770985611096
S105,92.0,88.0,71.0,92.0,77.0,70.0,90.0,4.0,3.0,3.0,4.0,1.0,4.0,0.3534837780096235,0.7619532718873494,0.19951866453489842
S106,82.0,62.0,63.0,61.0,89.0,74.0,82.0,4.0,5.0,5.0,1.0,1.0,5.0,0.8252718005531073,0.7924801186719198,0.13057432088152132
S107,81.0,87.0,66.0,72.0,72.0,73.0,69.0,2.0,2.0,5.0,2.0,3.0,3.0,0.7097474497658364,0.2832396995555815,0.9479120823067143
S108,95.0,67.0,98.0,76.0,66.0,87.0,72.0,2.0,1.0,4.0,3.0,3.0,2.0,0.6668646099037246,0.8717088317722995,0.057699551142695205
S109,71.0,60.0,85.0,69.0,67.0,78.0,72.0,4.0,5.0,2.0,4.0,4.0,4.0,0.8256692824619376,0.5893890932689408,0.7412249224855475
S110,82.0,96.0,79.0,63.0,80.0,80.0,76.0,4.0,1.0,2.0,1.0,4.0,5.0,0.2630558058392778,0.6776584785182999,0.751583200038444
S111,77.0,80.0,60.0,66.0,63.0,87.0,98.0,1.0,3.0,4.0,1.0,1.0,4.0,0.25840982448676153,0.22048660113770346,0.655186457768892
S112,89.0,86.0,77.0,78.0,78.0,80.0,97.0,2.0,2.0,4.0,3.0,5.0,5.0,0.6813581152549522,0.5561657343556317,0.10388648364906483
S113,90.0,93.0,81.0,85.0,67.0,94.0,77.0,1.0,3.0,2.0,3.0,5.0,3.0,0.35312255059945663,0.2301609459573103,0.32008194028273196
S114,63.0,67.0,90.0,67.0,94.0,69.0,69.0,4.0,2.0,3.0,1.0,2.0,3.0,0.5399957268165647,0.8133343820410599,0.030069070203553983
S115,60.0,82.0,86.0,64.0,67.0,82.0,89.0,1.0,5.0,4.0,4.0,3.0,5.0,0.7580534782894717,0.47275226500184186,0.49829940987346666
S116,95.0,89.0,93.0,64.0,69.0,61.0,97.0,4.0,1.0,2.0,3.0,1.0,1.0,0.18799940096614487,0.7765428904286824,0.5761176566195965
S117,85.0,75.0,61.0,70.0,85.0,93.0,70.0,1.0,3.0,2.0,3.0,1.0,1.0,0.3967049755776999,0.23716985343281916,0.7278643404515989
S118,76.0,73.0,97.0,72.0,92.0,65.0,83.0,1.0,2.0,2.0,1.0,2.0,3.0,0.9725497524209357,0.2482785366157828,0.451140393083135
S119,93.0,77.0,81.0,60.0,90.0,74.0,63.0,2.0,3.0,2.0,5.0,1.0,2.0,0.9607533593194956,0.1580010526516431,0.9302270636691373
S120,71.0,60.0,88.0,76.0,78.0,62.0,96.0,1.0,1.0,2.0,2.0,4.0,2.0,0.5060359546596875,0.05954250285739393,0.8342845116954534
S121,92.0,99.0,95.0,64.0,71.0,89.0,69.0,4.0,4.0,5.0,5.0,1.0,1.0,0.05460617389685363,0.5709529943710018,0.09000053830794752
S122,64.0,83.0,62.0,73.0,69.0,94.0,93.0,5.0,1.0,2.0,5.0,1.0,3.0,0.2840929051767461,0.28458876069573,0.9311683549829618
S123,81.0,82.0,77.0,80.0,72.0,82.0,82.0,5.0,3.0,5.0,3.0,5.0,2.0,0.779775217330228,0.3000040064386488,0.9569769888982298
S124,72.0,60.0,76.0,93.0,95.0,80.0,60.0,5.0,1.0,5.0,4.0,3.0,3.0,0.6100573834525117,0.9936639727854085,0.8292072709252238
S125,71.0,68.0,70.0,76.0,82.0,95.0,61.0,4.0,5.0,5.0,4.0,2.0,5.0,0.9052949402579482,0.035819368910773086,0.8815492682993883
S126,95.0,72.0,70.0,82.0,78.0,84.0,72.0,2.0,5.0,4.0,4.0,1.0,5.0,0.0005856182215300265,0.302283977084396,0.43213742051409754
S127,68.0,99.0,91.0,60.0,61.0,72.0,71.0,1.0,4.0,2.0,4.0,3.0,1.0,0.6848234638451826,0.6395282579340169,0.6905427070534247
S128,66.0,66.0,99.0,61.0,67.0,84.0,86.0,3.0,2.0,4.0,1.0,2.0,3.0,0.3359460707979872,0.17508799219896876,0.9985472826721524
S129,83.0,97.0,89.0,90.0,67.0,87.0,67.0,5.0,1.0,2.0,2.0,4.0,5.0,0.9893329495169078,0.4945452941650663,0.4889444225134205
S130,83.0,88.0,72.0,89.0,60.0,73.0,99.0,2.0,1.0,1.0,4.0,2.0,1.0,0.5974731865358485,0.5340580990697926,0.950864691397688
S131,60.0,80.0,85.0,76.0,74.0,70.0,94.0,2.0,5.0,5.0,1.0,1.0,1.0,0.13124420102764944,0.7370862815297079,0.4983936838887102
S132,89.0,96.0,60.0,79.0,74.0,68.0,88.0,3.0,4.0,4.0,2.0,1.0,1.0,0.4295354478335466,0.04001010061461252,0.22153896353621527
S133,65.0,87.0,75.0,78.0,93.0,70.0,73.0,4.0,5.0,1.0,1.0,4.0,4.0,0.25561964703737383,0.7535392586895618,0.15437166808140146
S134,76.0,97.0,97.0,68.0,98.0,61.0,76.0,3.0,4.0,2.0,3.0,2.0,2.0,0.5729119063445063,0.2690426113179294,0.9447787459669902
S135,61.0,98.0,75.0,73.0,72.0,65.0,75.0,3.0,4.0,1.0,4.0,2.0,2.0,0.39830608303632953,0.09576994157900054,0.5562534869830109
S136,98.0,64.0,88.0,88.0,98.0,66.0,74.0,4.0,3.0,5.0,4.0,4.0,3.0,0.8827881922186281,0.4725521779599773,0.07724111347752782
S137,92.0,60.0,66.0,70.0,85.0,97.0,86.0,1.0,4.0,5.0,2.0,3.0,2.0,0.6295395841581682,0.47267251963306167,0.9283389915133569
S138,72.0,82.0,76.0,66.0,74.0,87.0,68.0,2.0,3.0,1.0,1.0,2.0,5.0,0.33111146106243716,0.38866066558537293,0.11944259177531658
S139,64.0,68.0,73.0,76.0,67.0,75.0,85.0,1.0,1.0,2.0,1.0,5.0,5.0,0.6294245454495178,0.27106679052205596,0.9797415698195518
S140,93.0,87.0,77.0,98.0,62.0,80.0,72.0,2.0,5.0,3.0,4.0,5.0,2.0,0.584587226251191,0.2524840842438598,0.18571369385991354
S141,67.0,80.0,83.0,88.0,74.0,85.0,63.0,4.0,2.0,5.0,4.0,5.0,4.0,0.19225355225686724,0.6800348060124657,0.0008482900111379532
S142,73.0,93.0,97.0,95.0,93.0,87.0,77.0,3.0,5.0,5.0,1.0,1.0,4.0,0.9193330632294757,0.8026052886779798,0.1251291928479994
S143,86.0,75.0,83.0,86.0,67.0,68.0,96.0,5.0,2.0,1.0,3.0,3.0,1.0,0.8722900788866281,0.6452656499149373,0.6086480989899512
S144,62.0,65.0,70.0,97.0,71.0,95.0,83.0,2.0,2.0,5.0,3.0,3.0,3.0,0.22544922912019605,0.13107141082153018,0.9147288109486545
S145,91.0,78.0,79.0,65.0,81.0,84.0,94.0,1.0,5.0,1.0,2.0,5.0,5.0,0.2134951131421322,0.8794032907291018,0.6395637897472585
S146,63.0,62.0,81.0,94.0,92.0,98.0,66.0,3.0,4.0,4.0,1.0,5.0,5.0,0.7147803047404824,0.1467474835466186,0.4061421515006216
S147,68.0,95.0,92.0,71.0,72.0,96.0,84.0,1.0,3.0,5.0,2.0,3.0,1.0,0.7220291673497009,0.02184782915699912,0.4540399384778615
S148,89.0,63.0,88.0,80.0,96.0,78.0,87.0,2.0,1.0,3.0,4.0,1.0,2.0,0.6967508999978441,0.9189051307411271,0.44816956936796315
S149,63.0,64.0,99.0,78.0,61.0,76.0,80.0,4.0,1.0,2.0,4.0,1.0,4.0,0.39128022201879964,0.5156761702001337,0.13342651489413204
S150,60.0,74.0,61.0,88.0,75.0,71.0,64.0,1.0,1.0,5.0,1.0,3.0,5.0,0.7876351263345309,0.13088222999007804,0.3127978635836828
S151,62.0,66.0,90.0,99.0,73.0,92.0,79.0,1.0,3.0,3.0,2.0,5.0,4.0,0.03276400154336068,0.05417619281572572,0.8159348199472967
S152,73.0,81.0,93.0,71.0,74.0,95.0,98.0,2.0,1.0,4.0,2.0,2.0,3.0,0.0965917701673008,0.08401265467069063,0.5402100051327887
S153,67.0,68.0,96.0,77.0,93.0,67.0,85.0,1.0,5.0,5.0,3.0,3.0,3.0,0.2542382355251278,0.127879104250338,0.40988145937075027
S154,89.0,69.0,70.0,92.0,69.0,62.0,79.0,2.0,2.0,2.0,5.0,4.0,5.0,0.9789657939619089,0.9735245281520336,0.4987245066221855
S155,62.0,73.0,81.0,62.0,64.0,71.0,76.0,5.0,1.0,2.0,3.0,5.0,3.0,0.8814084664515865,0.22865816443676767,0.9509086054652367
S156,63.0,91.0,80.0,83.0,92.0,78.0,77.0,4.0,1.0,3.0,4.0,1.0,2.0,0.15366782959269631,0.6412672658148766,0.11914031665976366
S157,75.0,90.0,93.0,69.0,71.0,63.0,74.0,1.0,3.0,2.0,5.0,2.0,5.0,0.1739417470027922,0.005226284844086604,0.2529358384727073
S158,88.0,60.0,62.0,97.0,75.0,79.0,94.0,4.0,5.0,4.0,5.0,2.0,4.0,0.9761305073596833,0.4947176907914017,0.5963264583707086
S159,96.0,89.0,98.0,75.0,65.0,71.0,70.0,4.0,2.0,4.0,3.0,3.0,4.0,0.8935398087326496,0.897450829718812,0.875314867638895
S160,73.0,61.0,63.0,96.0,90.0,98.0,84.0,1.0,1.0,4.0,2.0,4.0,5.0,0.27364667112456753,0.3421022472238061,0.3288785934586902
S161,86.0,67.0,86.0,67.0,64.0,84.0,89.0,4.0,1.0,4.0,3.0,3.0,5.0,0.10252387745775648,0.797502755693456,0.11778991482189038
S162,80.0,82.0,70.0,81.0,79.0,61.0,78.0,4.0,4.0,5.0,4.0,1.0,4.0,0.35045010892697126,0.20895278651856375,0.7545499142338645
S163,71.0,60.0,61.0,99.0,71.0,76.0,84.0,5.0,1.0,1.0,4.0,4.0,2.0,0.09145385459584532,0.7894737151158735,0.1303952458976848
S164,62.0,99.0,61.0,79.0,60.0,73.0,70.0,5.0,5.0,5.0,4.0,1.0,1.0,0.9494560592266866,0.4497723326580493,0.6337627144616478
S165,87.0,88.0,69.0,98.0,95.0,95.0,72.0,5.0,2.0,2.0,4.0,3.0,1.0,0.5292572214890077,0.7567564290242114,0.48046837937379006
S166,75.0,91.0,98.0,80.0,83.0,89.0,63.0,1.0,3.0,4.0,5.0,1.0,5.0,0.06359339251207385,0.2648139078070918,0.9494903168410318
S167,89.0,95.0,83.0,80.0,77.0,93.0,81.0,4.0,4.0,4.0,2.0,3.0,2.0,0.5944632294683633,0.24563740763643382,0.6544668134506672
S168,98.0,68.0,60.0,82.0,82.0,67.0,62.0,2.0,3.0,1.0,1.0,3.0,1.0,0.8895474254276865,0.044098695265345045,0.9399427649242907
S169,62.0,96.0,84.0,89.0,91.0,98.0,96.0,4.0,2.0,5.0,1.0,5.0,1.0,0.043904618910226234,0.053172238476124845,0.25460293701380354
